                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.635,                 1.0163,                 1.2815,                0.64412,                0.66803,                 0.6828,                0.33806,                 1.7552,                 2.0375,                 1.6246,               0.006733,               0.006733,               0.006733
                     35,                 1.6288,                0.98997,                 1.2913,                0.70201,                0.70931,                0.70726,                0.35262,                 1.7327,                 1.8857,                  1.609,               0.006634,               0.006634,               0.006634
                     36,                 1.6047,                0.98236,                 1.2845,                0.69338,                0.72191,                0.71315,                0.36268,                 1.6907,                   2.05,                 1.5606,               0.006535,               0.006535,               0.006535
                     37,                 1.6196,                 0.9711,                 1.2854,                0.68732,                0.73671,                0.70374,                0.35012,                 1.7148,                 2.1832,                 1.5887,               0.006436,               0.006436,               0.006436
                     38,                  1.621,                0.97322,                 1.2736,                0.73737,                0.71871,                0.74065,                0.36251,                 1.7184,                   2.01,                 1.5867,               0.006337,               0.006337,               0.006337
                     39,                 1.6266,                 0.9632,                 1.2854,                0.69236,                0.70211,                0.69866,                0.35705,                 1.6938,                 1.8318,                 1.5804,               0.006238,               0.006238,               0.006238
                     40,                 1.6134,                0.96186,                 1.2669,                 0.7152,                0.70712,                 0.7191,                0.35295,                 1.7442,                 1.9722,                 1.5894,               0.006139,               0.006139,               0.006139
                     41,                 1.6072,                0.95212,                 1.2794,                0.71934,                0.69492,                 0.7142,                0.35327,                 1.7145,                 1.9123,                 1.6178,                0.00604,                0.00604,                0.00604
                     42,                 1.6037,                0.95361,                 1.2779,                0.69878,                0.71783,                0.72139,                0.36818,                 1.7621,                 1.8312,                 1.6273,               0.005941,               0.005941,               0.005941
                     43,                 1.6006,                0.94693,                  1.268,                0.71451,                0.69863,                0.72243,                0.37111,                 1.7034,                 1.9451,                 1.5711,               0.005842,               0.005842,               0.005842
                     44,                 1.5937,                0.95158,                  1.276,                0.69286,                0.71969,                0.73099,                0.36732,                 1.7155,                 1.9693,                 1.6002,               0.005743,               0.005743,               0.005743
                     45,                 1.5821,                0.93031,                 1.2662,                0.69277,                0.73587,                 0.7322,                0.36157,                 1.7189,                 1.9204,                 1.5858,               0.005644,               0.005644,               0.005644
                     46,                 1.5804,                0.91605,                 1.2609,                0.68303,                0.74105,                 0.7209,                0.36372,                 1.6808,                  2.064,                 1.5618,               0.005545,               0.005545,               0.005545
